4K频道,#genre#
NewTV-东北热剧,http://lu.wqwqwq.sbs/itv/1000000005000266013.m3u8?cdn=ystenlive
NewTV-动作电影,http://lu.wqwqwq.sbs/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV-古装剧场,http://lu.wqwqwq.sbs/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-欢乐剧场,http://lu.wqwqwq.sbs/itv/1000000005000266012.m3u8?cdn=ystenlive
NewTV-家庭剧场,http://lu.wqwqwq.sbs/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV-金牌综艺,http://lu.wqwqwq.sbs/itv/1000000004000026167.m3u8?cdn=ystenlive
NewTV-惊悚悬疑,http://lu.wqwqwq.sbs/itv/1000000004000024282.m3u8?cdn=ystenlive
NewTV-军旅剧场,http://lu.wqwqwq.sbs/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-军事评论,http://lu.wqwqwq.sbs/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV-魅力潇湘,http://lu.wqwqwq.sbs/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV-明星大片,http://lu.wqwqwq.sbs/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV-农业致富,http://lu.wqwqwq.sbs/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV-武博世界,http://lu.wqwqwq.sbs/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV-炫舞未来,http://lu.wqwqwq.sbs/itv/1000000001000000515.m3u8?cdn=ystenlive
NewTV-怡伴健康,http://lu.wqwqwq.sbs/itv/1000000005000266011.m3u8?cdn=ystenlive
NewTV-中国功夫,http://lu.wqwqwq.sbs/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTV-黑莓电影,http://lu.wqwqwq.sbs/itv/1000000004000019624.m3u8?cdn=ystenlive
NewTV-黑莓动画,http://lu.wqwqwq.sbs/itv/1000000004000021734.m3u8?cdn=ystenlive
NewTV-哒啵电竞,http://lu.wqwqwq.sbs/itv/1000000006000032327.m3u8?cdn=ystenlive
NewTV-哒啵赛事,http://lu.wqwqwq.sbs/itv/1000000001000003775.m3u8?cdn=ystenlive

IHOT,#genre#

iHOT-爱电竞,http://lu.wqwqwq.sbs/itv/6000000006000230630.m3u8?cdn=wasusyt
iHOT-爱谍战,http://lu.wqwqwq.sbs/itv/6000000006000070630.m3u8?cdn=wasusyt
iHOT-爱动漫,http://lu.wqwqwq.sbs/itv/6000000006000280630.m3u8?cdn=wasusyt
iHOT-爱都市,http://lu.wqwqwq.sbs/itv/6000000006000080630.m3u8?cdn=wasusyt
iHOT-爱怀旧,http://lu.wqwqwq.sbs/itv/6000000006000260630.m3u8?cdn=wasusyt
iHOT-爱经典,http://lu.wqwqwq.sbs/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT-爱科幻,http://lu.wqwqwq.sbs/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT-爱科学,http://lu.wqwqwq.sbs/itv/6000000006000160630.m3u8?cdn=wasusyt
iHOT-爱浪漫,http://lu.wqwqwq.sbs/itv/6000000006000040630.m3u8?cdn=wasusyt
iHOT-爱历史,http://lu.wqwqwq.sbs/itv/6000000006000150630.m3u8?cdn=wasusyt
iHOT-爱旅行,http://lu.wqwqwq.sbs/itv/6000000006000250630.m3u8?cdn=wasusyt
iHOT-爱奇谈,http://lu.wqwqwq.sbs/itv/6000000006000270630.m3u8?cdn=wasusyt
iHOT-爱青春,http://lu.wqwqwq.sbs/itv/6000000006000100630.m3u8?cdn=wasusyt
iHOT-爱赛车,http://lu.wqwqwq.sbs/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT-爱体育,http://lu.wqwqwq.sbs/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT-爱玩具,http://lu.wqwqwq.sbs/itv/6000000006000220630.m3u8?cdn=wasusyt
iHOT-爱喜剧,http://lu.wqwqwq.sbs/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://lu.wqwqwq.sbs/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱幼教,http://lu.wqwqwq.sbs/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT-爱院线,http://lu.wqwqwq.sbs/itv/6000000006000030630.m3u8?cdn=wasusyt

咪咕体育,#genre#

咪咕视频_8M1080_咪视通-1,http://lu.wqwqwq.sbs/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-2,http://lu.wqwqwq.sbs/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-3,http://lu.wqwqwq.sbs/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-4,http://lu.wqwqwq.sbs/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-5,http://lu.wqwqwq.sbs/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-6,http://lu.wqwqwq.sbs/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-7,http://lu.wqwqwq.sbs/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-8,http://lu.wqwqwq.sbs/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-9,http://lu.wqwqwq.sbs/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-10,http://lu.wqwqwq.sbs/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-11,http://lu.wqwqwq.sbs/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-12,http://lu.wqwqwq.sbs/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-13,http://lu.wqwqwq.sbs/itv/3000000020000011519.m3u8?cdn=FifastbLive
